Название;Описание;Артикул;Поставщик;Ссылка;Цена Each;Цена Case
EMSURE* Zinc sulfate heptahydrate for analysis 500g;ZINC SULFATE 500GM;EM1.08883.0500;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.08883.0500;$429.00;Цена для Case не найдена
Ethanolamine for AnalysisEMSURE* 1L;ETHANOLAMINE FOR ANALYSIS (1L);EM1.00845.1000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.00845.1000;$303.00;$1,732.00
Ethyl acetate;Emsure* Ethyl acetate for analysis, ACS, ISO, Reagent Ph Eur grade, Cas number: 141-78-6Chemical Formula:CH3COOC2H5, 4l.;EM1.09623.4000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.09623.4000;$296.00;$1,159.00
Emsure* Tetrahydrofuran for analysis, ACS, Reagent Ph Eur grade, Cas number: 109-99-9, 4l;TETRAHYDROFURAN FOR ANALYSISEMSURE4L;EM1.09731.4000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.09731.4000;$599.00;Цена для Case не найдена
EMSURE* Sodium chloride for analysis 1kg;SODIUM CHLORIDE GR ACS 1KG;EM1.06404.1000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.06404.1000;$160.00;Цена для Case не найдена
EMSURE* Calcium carbonate precipitated for analysis 50kg;CALCIUM CARBONATE ACS 50KG;EM1.02066.9050;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.02066.9050;Inquire for Price;Цена для Case не найдена
EMSURE* Zinc sulfate heptahydrate for analysis 1kg;ZINC SULFATE 1KG;EM1.08883.1000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.08883.1000;$251.00;Цена для Case не найдена
EMSURE* Ammonium acetate for analysis 1kg;AMMONIUM ACETATE ACS 1KG;EM1.01116.1000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.01116.1000;$237.00;Цена для Case не найдена
EMSURE* Ammonium acetate for analysis 1kg;AMMONIUM ACETATE ACS 1KG;EM1.01116.1000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.01116.1000;$237.00;Цена для Case не найдена
EMSURE* Zinc sulfate heptahydrate for analysis 500g;ZINC SULFATE 500GM;EM1.08883.0500;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.08883.0500;$429.00;Цена для Case не найдена
