Название;Описание;Артикул;Поставщик;Ссылка;Цена Each;Цена Case
Hydrochloric Acid 25% for AnalysisEMSURE* 2. 5L;HYDROCHLORIC ACID 25% F (2.5L);EM1.00316.2511;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.00316.2511;$111.00;$428.00
Hydrochloric Acid 32% for AnalysisEMSURE* 1L;HYDROCHLORIC ACID 32% FOR (1L);EM1.00319.1000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.00319.1000;$115.00;$665.00
Emsure* Nitric acid 65% 25 l;Emsure* Nitric acid 65%, Grade: ISO, CAS-No: 7697-37-2, Physical state: liquid, Odor: stinging, pH: < 1 at 68 deg F, Application: for analysis, Pack size: 25 L;EM1.00456.9026;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.00456.9026;$555.00;Цена для Case не найдена
Sulfuric Acid 95-97% for AnalysisEMSURE* ISO 2. 5L;SULFURIC ACID 95-97% FO (2.5L);EM1.00731.2510;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.00731.2510;$243.00;$935.00
EMSURE* Barium nitrate for analysis 50kg;BARIUM NITRATE FOR ANALYSIS EM;EM1.01729.9050;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.01729.9050;Inquire for Price;Цена для Case не найдена
EMSURE* Sodium formate for analysis 50kg;SODIUM FORMATE FOR ANALYSIS EM;EM1.06443.9050;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.06443.9050;Inquire for Price;Цена для Case не найдена
Sulfurous Acid 5-6% So2 for AnalysisEMSURE* 2. 5L;SULFUROUS ACID 5-6% SO2 (2.5L);EM1.00761.2500;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.00761.2500;$376.00;$1,489.00
EmsureCopper Fine Powder Particle Size < 63 Um 1Kg;Cas Number 7440-50-8;EM1.02703.1000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.02703.1000;$922.00;$11,035.00
Emsure* Sulfuric Acid 95-97% Grade: Iso, For Analysis, Size: 500ml;SULFURIC ACID 95-97% ISO 7664-93-9 500ML;EM1.00731.0510;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.00731.0510;$56.00;Цена для Case не найдена
Tin(Iv) Oxide Extra Pure 25Kg;Cas Number 18282-10-5;EM1.07818.9025;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.07818.9025;Inquire for Price;Цена для Case не найдена
Potassium Dichromate for AnalysisEMSURE* ACS, ISO, REAGENT PH EUR 500G;POTASSIUM DICHROMATE FO (500G);EM1.04864.0500;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.04864.0500;$723.00;$4,221.00
Potassium Hydroxide Pellets For Analysis 25Kg;POTASSIUM HYDROXIDE PELLETS LY;EM1.05033.9025;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.05033.9025;$821.00;Цена для Case не найдена
N-Heptane for AnalysisEMSURE* REAGENT PH EUR 2. 5L;N-HEPTANE FOR ANALYSIS (2.5L);EM1.04379.2500;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.04379.2500;$406.00;$1,536.00
EMSURE* Potassium permanganate for analysis 1kg;plastic bottle;EM1.05082.1000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.05082.1000;$255.00;$1,478.00
EMSURE* Potassium permanganate for analysis 1kg;POTASSIUM PERMANGANATE FOR ANA;EM1.05084.1000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.05084.1000;$324.00;$1,897.00
EMSURE* Sodium fluoride for analysis 1kg;SODIUM FLUORIDE FOR ANALYSIS E;EM1.06449.1000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.06449.1000;$409.00;$2,370.00
EmsureCadmium Coarse Powder;For Analysis and for Filling Reductors Particle Size about 0.3-1.6 Mm 250G Cas Number 7440-43-9;EM1.02001.0250;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.02001.0250;$1,128.00;$37,602.00
Sodium Rod Diameter 2.5 Cm (Protective Liquid: Paraffin Oil) 250G;Cas Number 7440-23-5;EM1.06260.0250;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.06260.0250;$450.00;$1,720.00
Emsure* Nitric acid 65% 25 l;Emsure* Nitric acid 65%, Grade: ISO, CAS-No: 7697-37-2, Physical state: liquid, Odor: stinging, pH: < 1 at 68 deg F, Application: for analysis, Pack size: 25 L;EM1.00456.9026;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.00456.9026;$555.00;Цена для Case не найдена
Sulfurous Acid 5-6% So2 for AnalysisEMSURE* 2. 5L;SULFUROUS ACID 5-6% SO2 (2.5L);EM1.00761.2500;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.00761.2500;$376.00;$1,489.00
Ortho-Phosphoric Acid 85% for AnalysisEMSURE* ACS, ISO, REAGENT PH EUR 2. 5L;ORTHO-PHOSPHORIC ACID 8 (2.5L);EM1.00573.2500;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.00573.2500;$468.00;$1,843.00
EMSURE* Ammonium carbonate for analysis 1kg;AMMONIUM CARBONATE FOR ANALYSI;EM1.59504.1000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.59504.1000;$283.00;$1,660.00
Pyridine for AnalysisEMSURE* ACS, REAGENT PH EUR 25L;PYRIDINE FOR ANALYSIS EM (25L);EM1.09728.6025;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.09728.6025;$7,142.00;Цена для Case не найдена
Pyridine for AnalysisEMSURE* ACS, REAGENT PH EUR 1L;PYRIDINE FOR ANALYSIS EMS (1L);EM1.09728.1000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.09728.1000;$337.00;$1,904.00
EMSURE* Ammonium bromide for analysis Plastic bottle packaging 1kg;AMMONIUM BROMIDE FOR ANALYSIS;EM1.01125.1000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.01125.1000;$139.00;$1,646.00
Lead(II) Nitrate for AnalysisEMSURE* ACS, REAGENT PH EUR 1Kg;LEAD(II) NITRATE FOR ANA (1KG);EM1.07398.1000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.07398.1000;$475.00;$9,149.00
Hydrochloric Acid 25% for AnalysisEMSURE* 25L;HYDROCHLORIC ACID 25% FO (25L);EM1.00316.9025;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.00316.9025;$753.00;Цена для Case не найдена
EMSURE* Calcium hydroxide for analysis 50kg;CALCIUM HYDROXIDE FOR ANALYSIS;EM1.02047.9050;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.02047.9050;$5,229.00;Цена для Case не найдена
Copper(Ii) Oxide Powder Extra Pure 25Kg;Cas Number 1317-38-0;EM1.02761.9025;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.02761.9025;Inquire for Price;Цена для Case не найдена
EMSURE* Sodium ammonium hydrogen phosphate tetrahydrate for analysis 1kg;SODIUM AMMONIUM HYDROGEN PHOSP;EM1.06682.1000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.06682.1000;$727.00;$4,268.00
N-Hexane for AnalysisEMSURE* ACS 1L;N-HEXANE FOR ANALYSIS EMS (1L);EM1.04367.1000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.04367.1000;$98.00;$557.00
Isooctane for AnalysisEMSURE* ACS, REAGENT PH EUR 2. 5L;ISOOCTANE FOR ANALYSIS (2.5L);EM1.04727.2500;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.04727.2500;$397.00;$1,587.00
Cyclohexane for AnalysisEMSURE* ACS, ISO, REAGENT PH EUR 25L;CYCLOHEXANE FOR ANALYSIS (25L);EM1.09666.6025;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.09666.6025;$3,314.00;Цена для Case не найдена
Cyclohexane for AnalysisEMSURE* ACS, ISO, REAGENT PH EUR 2. 5L;CYCLOHEXANE FOR ANALYSI (2.5L);EM1.09666.2500;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.09666.2500;$306.00;$1,167.00
EMSURE* Iron(III) chloride solution (10% Fe) for analysis 250g;IRON(III) CHLORIDE SOLUTION (1;EM1.05512.0250;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.05512.0250;$213.00;$4,197.00
N-Heptane for AnalysisEMSURE* REAGENT PH EUR 2. 5L;N-HEPTANE FOR ANALYSIS (2.5L);EM1.04379.2511;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.04379.2511;$365.00;$1,398.00
Emsure*Perchloric Acid 70-72% Grade: Acs,Iso,Reag. Ph Eur, For Analysis, Size: 500ml;PERCHLORIC ACID 70-72% ACS ISO 500 ML;EM1.00519.0510;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.00519.0510;$203.00;Цена для Case не найдена
Cyclohexane for AnalysisEMSURE* ACS, ISO, REAGENT PH EUR 25L;CYCLOHEXANE FOR ANALYSIS (25L);EM1.09666.6025;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.09666.6025;$3,314.00;Цена для Case не найдена
Cyclohexane for AnalysisEMSURE* ACS, ISO, REAGENT PH EUR 2. 5L;CYCLOHEXANE FOR ANALYSI (2.5L);EM1.09666.2500;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.09666.2500;$306.00;$1,167.00
EMSURE* Sodium fluoride for analysis 250g;SODIUM FLUORIDE FOR ANALYSIS E;EM1.06449.0250;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.06449.0250;$235.00;$915.00
EMSURE* Sodium acetate anhydrous for analysis 250g;SODIUM ACETATE ANHYDROUS FOR A;EM1.06268.0250;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.06268.0250;$197.00;$1,132.00
EMSURE* Sodium acetate anhydrous for analysis 2.5kg;SODIUM ACETATE ANHYDROUS FOR A;EM1.06268.2500;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.06268.2500;$654.00;$1,279.00
EMSURE* Sodium fluoride for analysis 50kg;SODIUM FLUORIDE FOR ANALYSIS E;EM1.06449.9050;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.06449.9050;$16,254.00;Цена для Case не найдена
Ethanol Denatured with About 1% Methyl Ethyl Ketone for AnalysisEMSURE* 25L;ETHANOL DENATURED WITH A (25L);EM1.00974.9025;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.00974.9025;$1,356.00;Цена для Case не найдена
EMSURE* Sodium acetate anhydrous for analysis 1kg;SODIUM ACETATE ANHYDROUS FOR A;EM1.06268.1000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.06268.1000;$346.00;$2,003.00
EMSURE* Magnesium perchlorate hydrate [about 83% Mg(ClO4)2] for analysis 100g;MAGNESIUM PERCHLORATE HYDRATE;EM1.05874.0100;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.05874.0100;$348.00;$10,662.00
EMSURE* Sodium formate for analysis 50kg;SODIUM FORMATE FOR ANALYSIS EM;EM1.06443.9050;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.06443.9050;Inquire for Price;Цена для Case не найдена
EmsureCopper Fine Powder Particle Size < 63 Um 1Kg;Cas Number 7440-50-8;EM1.02703.1000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.02703.1000;$922.00;$11,035.00
Potassium Hydroxide Pellets 0.05% Na For 50Kg;POTASSIUM HYDROXIDE PELLETS 0;EM1.05029.9050;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.05029.9050;$10,087.00;Цена для Case не найдена
EMSURE* Barium nitrate for analysis 50kg;BARIUM NITRATE FOR ANALYSIS EM;EM1.01729.9050;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.01729.9050;Inquire for Price;Цена для Case не найдена
N-Heptane for AnalysisEMSURE* REAGENT PH EUR 1L;N-HEPTANE FOR ANALYSIS EM (1L);EM1.04379.1000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.04379.1000;$209.00;$1,190.00
EMSURE* Sodium sulfite anhydrous for analysis 50kg;SODIUM SULFITE ANHYDROUS FOR A;EM1.06657.9050;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.06657.9050;$5,473.00;Цена для Case не найдена
EmsureZinc Powder for Analysis Particle Size < 45 Um;Cas Number: 7440-66-6, 500G;EM1.08789.0500;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.08789.0500;$321.00;$11,515.00
EMSURE* Potassium thiocyanate for analysis 50kg;POTASSIUM THIOCYANATE FOR ANAL;EM1.05125.9050;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.05125.9050;Inquire for Price;Цена для Case не найдена
EmsureCopper(Ii) Oxide Powder for Analysis 100G;Grade ACS , Cas Number 1317-38-0;EM1.02766.0100;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.02766.0100;$877.00;$60,569.00
EMSURE* Barium hydroxide octahydrate for analysis 500g;BARIUM HYDROXIDE OCTAHYDRATE F;EM1.01737.0500;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.01737.0500;$270.00;$1,406.00
EMSURE* Strontium chloride hexahydrate for analysis 1kg 1kg;STRONTIUM CHLORIDE HEXAHYDRATE;EM1.07865.1000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.07865.1000;$602.00;$3,574.00
EMSURE* Copper(II) sulfate anhydrous for analysis 1kg;COPPER(II) SULFATE ANHYDROUS F;EM1.02791.1000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.02791.1000;$417.00;$2,445.00
EMSURE* Sodium carbonate decahydrate for analysis 1kg;SODIUM CARBONATE DECAHYDRATE F;EM1.06391.1000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.06391.1000;$135.00;$783.00
EMSURE* Sodium carbonate decahydrate for analysis 25kg;SODIUM CARBONATE DECAHYDRATE F;EM1.06391.9025;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.06391.9025;$2,583.00;Цена для Case не найдена
Ethanol Denatured with About 1% Methyl Ethyl Ketone for AnalysisEMSURE* 180L;ETHANOL DENATURED WITH (180L);EM1.00974.9180;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.00974.9180;$8,270.00;Цена для Case не найдена
Perchloric Acid 70-72% for AnalysisEMSURE* ACS, ISO, REAGENT PH EUR 1Pc;PERCHLORIC ACID 70-72% F (1PC);EM1.00519.1016;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.00519.1016;$2,010.00;Цена для Case не найдена
EMSURE* Potassium permanganate for analysis 250g;POTASSIUM PERMANGANATE FOR ANA;EM1.05082.0250;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.05082.0250;$123.00;$1,444.00
Ethanol Denatured with About 1% Methyl Ethyl Ketone for AnalysisEMSURE* 25L;ETHANOL DENATURED WITH A (25L);EM1.00974.6025;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.00974.6025;$2,862.00;Цена для Case не найдена
Potassium Dichromate for Analysis (Max. 0. 000001% Hg)EMSURE* ACS, ISO 500G;POTASSIUM DICHROMATE FO (500G);EM1.04865.0500;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.04865.0500;$512.00;$3,027.00
EMSURE* Sodium hydrogen carbonate for analysis 1kg;SODIUM HYDROGEN CARBONATE P.A;EM1.06329.1000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.06329.1000;$132.00;$765.00
EMSURE* Sodium sulfite anhydrous for analysis 50kg;SODIUM SULFITE ANHYDROUS FOR A;EM1.06657.9050;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.06657.9050;$5,473.00;Цена для Case не найдена
EMSURE* Potassium thiocyanate for analysis 50kg;POTASSIUM THIOCYANATE FOR ANAL;EM1.05125.9050;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.05125.9050;Inquire for Price;Цена для Case не найдена
EmsureZinc Powder for Analysis Particle Size < 45 Um;Cas Number: 7440-66-6, 500G;EM1.08789.0500;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.08789.0500;$321.00;$11,515.00
ISObutanol for AnalysisEMSURE* ACS, REAGENT PH EUR 1L;ISOBUTANOL FOR ANALYSIS E (1L);EM1.00984.1000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.00984.1000;$147.00;$836.00
EMSURE* Sodium carbonate decahydrate for analysis 25kg;SODIUM CARBONATE DECAHYDRATE F;EM1.06391.9025;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.06391.9025;$2,583.00;Цена для Case не найдена
Cyclohexane for AnalysisEMSURE* ACS, ISO, REAGENT PH EUR 1L;CYCLOHEXANE FOR ANALYSIS (1L);EM1.09666.1000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.09666.1000;$157.00;$908.00
EMSURE* Sodium hydrogen carbonate for analysis 1kg;SODIUM HYDROGEN CARBONATE P.A;EM1.06329.1000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.06329.1000;$132.00;$765.00
Potassium Dichromate for Analysis (Max. 0. 000001% Hg)EMSURE* ACS, ISO 500G;POTASSIUM DICHROMATE FO (500G);EM1.04865.0500;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.04865.0500;$512.00;$3,027.00
EMSURE* Potassium permanganate for analysis 250g;POTASSIUM PERMANGANATE FOR ANA;EM1.05082.0250;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.05082.0250;$123.00;$1,444.00
Ethanol Denatured with About 1% Methyl Ethyl Ketone for AnalysisEMSURE* 25L;ETHANOL DENATURED WITH A (25L);EM1.00974.6025;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.00974.6025;$2,862.00;Цена для Case не найдена
Ethanol Denatured with About 1% Methyl Ethyl Ketone for AnalysisEMSURE* 180L;ETHANOL DENATURED WITH (180L);EM1.00974.9180;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.00974.9180;$8,270.00;Цена для Case не найдена
Perchloric Acid 70-72% for AnalysisEMSURE* ACS, ISO, REAGENT PH EUR 1Pc;PERCHLORIC ACID 70-72% F (1PC);EM1.00519.1016;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.00519.1016;$2,010.00;Цена для Case не найдена
Sodium Rod Diameter 2.5 Cm (Protective Liquid: Paraffin Oil) 250G;Cas Number 7440-23-5;EM1.06260.0250;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.06260.0250;$450.00;$1,720.00
EMSURE* Ammonium fluoride for analysis 25kg;AMMONIUM FLUORIDE FOR ANALYSIS;EM1.01164.9025;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.01164.9025;$9,640.00;Цена для Case не найдена
Tert-Butanol for AnalysisEMSURE* ACS, REAGENT PH EUR 5L;TERT-BUTANOL FOR ANALYSIS (5L);EM1.09629.5000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.09629.5000;$635.21;$2,402.94
Emsure*Perchloric Acid 70-72% Grade: Acs,Iso,Reag. Ph Eur, For Analysis, Size: 500ml;PERCHLORIC ACID 70-72% ACS ISO 500 ML;EM1.00519.0510;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.00519.0510;$203.00;Цена для Case не найдена
Ethanol Denatured with About 1% Methyl Ethyl Ketone for AnalysisEMSURE* 25L;ETHANOL DENATURED WITH A (25L);EM1.00974.6025;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.00974.6025;$2,862.00;Цена для Case не найдена
Potassium Dichromate for Analysis (Max. 0. 000001% Hg)EMSURE* ACS, ISO 500G;POTASSIUM DICHROMATE FO (500G);EM1.04865.0500;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.04865.0500;$512.00;$3,027.00
EMSURE* Sodium hydrogen carbonate for analysis 1kg;SODIUM HYDROGEN CARBONATE P.A;EM1.06329.1000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.06329.1000;$132.00;$765.00
Cyclohexane for AnalysisEMSURE* ACS, ISO, REAGENT PH EUR 1L;CYCLOHEXANE FOR ANALYSIS (1L);EM1.09666.1000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.09666.1000;$157.00;$908.00
EMSURE* Ammonium chloride for analysis 50kg;AMMONIUM CHLORIDE FOR ANALYSIS;EM1.01145.9050;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.01145.9050;$9,077.00;Цена для Case не найдена
ISObutanol for AnalysisEMSURE* ACS, REAGENT PH EUR 1L;ISOBUTANOL FOR ANALYSIS E (1L);EM1.00984.1000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.00984.1000;$147.00;$836.00
Tert-Butanol for AnalysisEMSURE* ACS, REAGENT PH EUR 5L;TERT-BUTANOL FOR ANALYSIS (5L);EM1.09629.5000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.09629.5000;$635.21;$2,402.94
EMSURE* Potassium iodide for analysis 500g;POTASSIUM IODIDE FOR ANALYSIS;EM1.05043.0500;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.05043.0500;$684.00;$2,701.00
Perchloric Acid 70-72% for AnalysisEMSURE* ACS, ISO, REAGENT PH EUR 2. 5L;PERCHLORIC ACID 70-72% (2.5L);EM1.00519.2510;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.00519.2510;$817.00;Цена для Case не найдена
EMSURE* Ammonium chloride for analysis 1kg;AMMONIUM CHLORIDE FOR ANALYSIS;EM1.01145.1000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.01145.1000;$182.00;$1,078.00
EMSURE* Sodium hydrogen carbonate for analysis 50kg;SODIUM HYDROGEN CARBONATE P.A;EM1.06329.9050;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.06329.9050;$3,336.00;Цена для Case не найдена
EMSURE* Ammonium chloride for analysis 500g;AMMONIUM CHLORIDE FOR ANALYSIS;EM1.01145.0500;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.01145.0500;$151.00;$882.00
EMSURE* Potassium iodide for analysis 250g;POTASSIUM IODIDE FOR ANALYSIS;EM1.05043.0250;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.05043.0250;$432.00;$1,660.00
EMSURE* Sodium hydrogen carbonate for analysis 25kg;SODIUM HYDROGEN CARBONATE P.A;EM1.06329.9025;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.06329.9025;$2,225.00;Цена для Case не найдена
EMSURE* Iron(III) chloride solution (10% Fe) for analysis 250g;IRON(III) CHLORIDE SOLUTION (1;EM1.05512.0250;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.05512.0250;$213.00;$4,197.00
EmsureCopper Fine Powder Particle Size < 63 Um 250G;Cas Number 7440-50-8;EM1.02703.0250;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.02703.0250;$399.00;$27,344.00
EMSURE* Iron(III) chloride solution (10% Fe) for analysis 250g;IRON(III) CHLORIDE SOLUTION (1;EM1.05512.0250;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.05512.0250;$213.00;$4,197.00
N-Heptane for AnalysisEMSURE* REAGENT PH EUR 2. 5L;N-HEPTANE FOR ANALYSIS (2.5L);EM1.04379.2511;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.04379.2511;$365.00;$1,398.00
Perchloric Acid 70-72% for AnalysisEMSURE* ACS, ISO, REAGENT PH EUR 1L;PERCHLORIC ACID 70-72% FO (1L);EM1.00519.1001;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.00519.1001;$595.00;Цена для Case не найдена
Ethanol Denatured with About 1% Methyl Ethyl Ketone for AnalysisEMSURE* 1L;ETHANOL DENATURED WITH AB (1L);EM1.00974.1011;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.00974.1011;$121.00;$688.00
Isooctane for AnalysisEMSURE* ACS, REAGENT PH EUR 10L;ISOOCTANE FOR ANALYSIS E (10L);EM1.04727.6010;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.04727.6010;$1,010.00;Цена для Case не найдена
Isooctane for AnalysisEMSURE* ACS, REAGENT PH EUR 25L;ISOOCTANE FOR ANALYSIS E (25L);EM1.04727.6025;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.04727.6025;$3,319.00;Цена для Case не найдена
EMSURE* Ammonium chloride for analysis 5kg;AMMONIUM CHLORIDE FOR ANALYSIS;EM1.01145.5000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.01145.5000;$583.00;$1,126.00
EMSURE* Potassium hydrogen phthalate for analysis 250g;POTASSIUM HYDROGEN PHTHALATE F;EM1.04874.0250;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.04874.0250;$162.00;$639.00
EMSURE* Ammonium cerium(IV) nitrate for analysis 1kg;AMMONIUM CERIUM(IV) NITRATE FO;EM1.02276.1000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.02276.1000;$1,706.00;$20,051.00
Sodium Hydroxide Solution About 32% For 2.5L;SODIUM HYDROXIDE SOL ABOUT 32;EM1.05590.2500;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.05590.2500;$178.00;$678.00
EMSURE* Ammonium sulfate for analysis 1kg;AMMONIUM SULFATE FOR ANALYSIS;EM1.01217.1000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.01217.1000;$274.00;$1,592.00
Petroleum Benzine Boiling Range 30-50 GRADE C for AnalysisEMSURE* 1L;PETROLEUM BENZINE BOILING (1L);EM1.01786.1000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.01786.1000;$295.00;$1,658.00
